FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,LOGO,55150599,55544138,55917136,73165880,64771259,67314091,64926301,59632592,49881684,44621173,40168346,95525251,54419631,48658889,40081054,83962389,43732114,44264641,53025554,150667928,45635426,45461188,48921566
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,LOGO,26022368,27936960,32570469,35195247,35757420,38898239,35577491,19425597,21403476,14170228,14182863,20156897,13073568,5198611,14187231,23897048,15382796,7908458,18768317,15749977,17576922,14532206,15351285
1AB,Finansal Yatırımlar,Short-Term Financial Investments,LOGO,0,0,0,4316265,2500291,0,2169375,13025762,11973642,7339578,6674209,36164425,21066042,21338173,6153066,13804207,6231125,4409904,3576947,4543548,1356727,745999,1987706
1AC,Ticari Alacaklar,Short-Term Trade Receivables,LOGO,26804594,25552501,21391711,31706966,24333268,25963442,25014359,24988392,12972732,19606119,16735672,34080557,15252556,18839565,16399767,39931403,16923750,27022834,25534703,42655706,18142899,21930831,23761423
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,LOGO,106898,108780,106864,107573,31450,16166,23691,9736,4714,4141,3726,21567,3596,2667,2078,2780,1762,1733,1668,10008,13612,22606,59882
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,LOGO,84848,100703,102306,382998,86306,379769,326685,444020,372283,334089,271575,738255,480409,403369,485160,1777033,1070846,874707,689827,513198,316940,50386,595408
1AG,Canlı Varlıklar,Short-Term Live Assets,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,LOGO,2131892,1845195,1745786,1456832,2062525,2056474,1814700,1739085,3154837,3167019,2300301,4363549,4543460,2876504,2853752,4549918,4121836,4047006,4454092,3277924,4564132,4537506,3801008
1AI,(Ara Toplam),(Subtotal),LOGO,55150599,55544138,55917136,73165880,64771259,67314091,64926301,59632592,49881684,44621173,40168346,95525251,54419631,48658889,40081054,83962389,43732114,44264641,53025554,66750360,41971232,41819534,45556713
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83917568,3664194,3641654,3364854
1AK,Duran Varlıklar,LONG TERM ASSETS,LOGO,64417678,67563679,66775607,74495128,71069767,72346065,75700884,75728076,75383064,73836330,74568198,166105007,87390165,86073654,90512433,177612652,123110971,129232241,129866979,107209616,108469090,112925069,117120698
1B,Ticari Alacaklar,Trade Receivables,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,LOGO,572641,633525,639077,718898,733169,753816,781334,677376,681986,685569,702163,109705,72755,197143,133669,46556,33175,38923,49938,54759,39621,89419,87611
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,LOGO,2201132,2410225,2127620,3781203,3868993,3933555,7937904,13772785,14090819,15259818,18365351,33944480,18040422,18872460,23459892,39359574,24796559,25790642,19162642,26226161,14132797,14200601,15228202
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27539178,30520139,31363632
1BE,Canlı Varlıklar,Long-Term Live Assets,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,LOGO,2139768,1664900,1245313,2382768,2378191,2169781,1849210,1325245,1258725,1011552,809261,1998879,1191434,976088,821046,1191877,992685,795979,708462,353926,838089,636636,438920
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,LOGO,3128046,2953787,2660889,2602866,2271790,2099960,2160475,1570134,1520907,1332832,1273973,11329223,3802260,3502064,3628491,13914883,9819655,10074015,10407694,12276867,9967939,9572847,9496821
1BGA,Şerefiye,Goodwill,LOGO,23786899,26378036,27019514,27276820,26059827,26367471,25550118,24509548,24039318,22486214,21085842,41311179,23774638,23644084,22899475,37417069,25450754,25422210,26591794,3704672,3036869,3355437,3453763
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,LOGO,31806689,32888454,32342875,35989330,34703400,35807420,36155646,32348686,33007776,32039845,31515547,76479127,39785489,37922117,39121126,82745081,60721719,65857389,71909018,61816191,52036914,53629121,55947510
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,LOGO,262505,251204,343496,1346368,839953,915670,911103,1416985,558525,719650,694887,615257,572082,462473,312149,2690048,570963,1035265,709866,2643001,104827,189966,314682
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,LOGO,519999,383547,396824,396876,214444,298392,355094,107317,225007,300851,121173,317158,151086,497225,136586,247565,725460,217818,327565,134040,772856,730903,789556
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,LOGO,119568277,123107817,122692743,147661008,135841025,139660156,140627186,135360668,125264747,118457503,114736544,261630258,141809796,134732543,130593488,261575041,166843085,173496882,182892533,257877544,154104515,158386257,166042264
1BM,KAYNAKLAR,LIABILITIES,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,LOGO,36367168,35586287,34578749,54673911,42432498,44478339,43128475,55579720,44018979,43564220,41433491,106206812,58823106,62316928,57542551,126543659,74282053,77607107,84575148,132589094,60341098,65903563,66185452
2AA,Finansal Borçlar,Short-Term Financial Loans,LOGO,6014990,3988810,3918771,3630459,5080017,5979984,6706949,7027934,5680297,5336399,3628947,5383141,3644608,5159801,3655874,5023482,2842510,3971014,3590931,218112,657007,497835,272404
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,LOGO,4174282,4484394,4261251,8875892,5513269,4662850,4123363,6113682,4528482,4160793,5118928,12650278,6247980,5618177,4564537,13766060,6860090,7189656,5906209,9173723,7066240,6612136,5961387
