date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,5.723832,5.76051,5.695785,5.7246,8859130.0,ISDMR,5.7246,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.0075463787862907195,0,0,-0.026394857282604822,0,-1,-0.04021241658805852,0,-1,-0.21105404744436285,0,-1,-0.1030290325961638,0,-1,-0.05906089508437273,0,-1,0.0
2020-01-03,5.615238,5.724551,5.515994,5.6095,10371465.0,ISDMR,5.6095,0,-0.020106208294029315,,,,,,,,,,-0.00918176638176682,-0.0018363532763533642,-0.007345413105413456,,,-10371465.0,0.055120777252874786,1,1,0.008966931099028352,1,0,-0.03718691505481764,0,-1,-0.1794812371869151,0,-1,-0.08845708173634015,0,-1,-0.06667260896693106,0,-1,1.0
2020-01-06,5.454864,5.5375686,5.264286,5.4585,8067359.0,ISDMR,5.4585,0,-0.026918620197878607,,,,,,,,,,-0.02831640652267442,-0.007132363925617576,-0.021184042597056845,,,-18438824.0,0.07245580287624809,1,1,0.04347348172574894,1,1,-0.025043510121828372,0,-1,-0.17391224695429153,0,-1,-0.061921773380965495,0,-1,-0.052706787579005265,0,-1,1.0
2020-01-08,5.455584,5.508802,5.3218193,5.4657,7615377.33,ISDMR,5.4657,0,0.0013190436933223637,,,,,,,,,,-0.04241088063281406,-0.014188067267056874,-0.028222813365757188,,,-10823446.67,0.059205591232595944,1,1,0.03814698940666328,1,1,-0.05790658104176949,0,-1,-0.16711491666209277,0,-1,-0.06974404010465263,0,-1,-0.021058601825932666,0,-1,1.0
2020-01-09,5.5972595,5.638252,5.5663347,5.6023,12128988.15,ISDMR,5.6023,0,0.024992224234773097,,,,,,,,,,-0.042073378803062056,-0.01976512957425791,-0.022308249228804145,,,1305541.4800000004,0.026953215643575,1,1,0.003855559323849178,1,0,-0.05263909465755123,0,-1,-0.1771593809685308,0,-1,-0.0924263249022722,0,-1,-0.050068721774985225,0,-1,1.0
2020-01-10,5.624588,5.6526356,5.5951023,5.6311,6340000.0,ISDMR,5.6311,0,0.0051407457651322375,-0.0163330189008839,,,,,,,,,-0.03903204969082896,-0.023618513597572124,-0.015413536093256838,,,7645541.48,0.008932535383850304,1,0,-0.019161442702136378,0,0,-0.0766280122888956,0,-1,-0.18262861607856373,0,-1,-0.09578945499103186,0,-1,-0.03267567615563571,0,-1,0.0
2020-01-13,5.707292,5.7317424,5.6526356,5.6958,10024785.0,ISDMR,5.6958,0,0.011489762213422017,0.015384615384615552,,,,,,,,,-0.031043178737474086,-0.025103446625552518,-0.005939732111921569,,,17670326.48,-0.007584535973875539,0,0,-0.015151515151515249,0,0,-0.08207802240247208,0,-1,-0.19570560764071776,0,-1,-0.11615576389620419,0,-1,-0.048843007128059224,0,-1,0.0
2020-01-14,5.6857166,5.71736,5.6454434,5.6814,9273665.0,ISDMR,5.6814,0,-0.002528178657958513,0.040835394339104214,,,,,,,,,-0.02557904133826483,-0.02519856556809498,-0.0003804757701698497,,,8396661.48,-0.010120744886823685,0,0,-0.030379835955926415,0,-1,-0.0683458302531067,0,-1,-0.18481360228112786,0,-1,-0.10632942584574223,0,-1,-0.05421199000246413,0,-1,0.0
2020-01-15,5.659827,5.7101684,5.6310596,5.6454,6474592.0,ISDMR,5.6454,0,-0.006336466363924265,0.032877764970635104,,,,,,,,,-0.023878317833604612,-0.02493451602119691,0.0010561981875922971,,,1922069.4800000004,-0.024196691111347368,0,-1,-0.024196691111347368,0,-1,-0.07769157189924547,0,-1,-0.18089063662450855,0,-1,-0.11464200942360159,0,-1,-0.05992489460445671,0,-1,0.0
2020-01-16,5.672772,5.724551,5.6166763,5.6239,13428221.0,ISDMR,5.6239,0,-0.0038084103872180197,0.003855559323849178,,,,,,,,,-0.02398882428626603,-0.024745377674210735,0.0007565533879447042,,,-11506151.52,-0.006401251800352004,0,0,-0.02812994541154712,0,-1,-0.09207133839506398,0,-1,-0.15601273137858063,0,-1,-0.11125731254111915,0,-1,-0.058962641583242936,0,-1,0.0
