date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,1.292,1.32,1.26,1.29,15240386.0,TEKTU,1.29,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.07751937984496116,1,1,0.06976744186046502,1,1,0.22480620155038755,1,1,-0.39534883720930236,0,-1,-0.023255813953488413,0,-1,0.22480620155038755,1,1,0.0
2020-01-03,1.229,1.28,1.16,1.22,26311373.0,TEKTU,1.22,0,-0.054263565891472965,,,,,,,,,,-0.005584045584045683,-0.0011168091168091367,-0.004467236467236546,,,-26311373.0,0.16393442622950816,1,1,0.13114754098360648,1,1,0.2704918032786885,1,1,-0.3688524590163934,0,-1,0.13114754098360648,1,1,0.28688524590163933,1,1,0.0
2020-01-06,1.149,1.2,1.12,1.13,21373659.0,TEKTU,1.13,0,-0.07377049180327877,,,,,,,,,,-0.017074861405345754,-0.00430841957451646,-0.012766441830829294,,,-47685032.0,0.2654867256637168,1,1,0.20353982300884965,1,1,0.4159292035398232,1,1,-0.3185840707964601,0,-1,0.18584070796460206,1,1,0.4424778761061947,1,1,1.0
2020-01-07,1.171,1.19,1.15,1.17,11592944.0,TEKTU,1.17,0,0.03539823008849563,,,,,,,,,,-0.02269216882767089,-0.007985169425147346,-0.014706999402523542,,,-36092088.0,0.22222222222222232,1,1,0.3931623931623931,1,1,0.32478632478632496,1,1,-0.28205128205128205,0,-1,0.11111111111111116,1,1,0.41880341880341887,1,1,1.0
2020-01-08,1.147,1.18,1.1,1.15,23415889.34,TEKTU,1.15,0,-0.017094017094017144,,,,,,,,,,-0.028430034542282767,-0.01207414244857443,-0.016355892093708337,,,-59507977.34,0.21739130434782616,1,1,0.4695652173913045,1,1,0.38260869565217415,1,1,-0.19999999999999996,0,-1,0.1304347826086958,1,1,0.5130434782608697,1,1,1.0
2020-01-09,1.225,1.26,1.19,1.26,20595341.52,TEKTU,1.26,0,0.09565217391304359,-0.023255813953488413,,,,,,,,,-0.02382659560595557,-0.01442463308005066,-0.00940196252590491,,,-38912635.82000001,0.11904761904761907,1,1,0.39682539682539675,1,1,0.12698412698412698,1,1,-0.3015873015873016,0,-1,0.06349206349206349,1,1,0.4285714285714286,1,1,1.0
2020-01-10,1.383,1.48,1.25,1.43,92897272.0,TEKTU,1.43,0,0.13492063492063489,0.1721311475409837,,,,,,,,,-0.006387130962326459,-0.01281713265650582,0.006430001694179361,,,53984636.17999999,-0.034965034965035,0,-1,0.16083916083916083,1,1,0.09090909090909105,1,1,-0.39160839160839156,0,-1,-0.04195804195804187,0,-1,0.2797202797202798,1,1,1.0
2020-01-13,1.431,1.47,1.39,1.41,30265737.0,TEKTU,1.41,0,-0.013986013986013957,0.24778761061946897,,,,,,,,,0.005753613484531961,-0.009102983428298265,0.014856596912830226,,,23718899.179999992,-0.021276595744680882,0,-1,0.1276595744680853,1,1,0.12056737588652489,1,1,-0.34042553191489355,0,-1,-0.049645390070921835,0,-1,0.3900709219858156,1,1,1.0
2020-01-14,1.388,1.43,1.31,1.39,25790153.0,TEKTU,1.39,0,-0.014184397163120588,0.18803418803418803,,,,,,,,,0.013604582911733942,-0.004561470160291824,0.018166053072025765,,,-2071253.8200000077,0.0,0,0,0.15827338129496415,1,1,0.12230215827338142,1,1,-0.27338129496402874,0,-1,-0.021582733812949506,0,-1,0.5035971223021583,1,1,1.0
2020-01-15,1.424,1.46,1.35,1.42,49727918.0,TEKTU,1.42,0,0.021582733812949728,0.23478260869565215,,,,,,,,,0.02199375174601803,0.0007495742209701467,0.021244177525047883,,,47656664.17999999,-0.007042253521126751,0,0,0.11971830985915499,1,1,0.09154929577464799,1,1,-0.25352112676056326,0,-1,-0.028169014084507116,0,-1,0.42957746478873227,1,1,1.0
2020-01-16,1.42,1.45,1.38,1.39,17394494.0,TEKTU,1.39,0,-0.021126760563380254,0.10317460317460303,,,,,,,,,0.025922658932468146,0.005784191163269747,0.0201384677691984,7.751937984496116,,30262170.179999992,-0.007194244604316502,0,0,0.13669064748201443,1,1,0.014388489208633004,1,0,-0.2230215827338129,0,-1,-0.03597122302158262,0,-1,0.3237410071942448,1,1,1.0
2020-01-17,1.418,1.44,1.39,1.42,20707247.0,TEKTU,1.42,0,0.021582733812949728,-0.006993006993006978,,,,,,,,,0.031098610045128927,0.010847074939641583,0.020251535105487342,16.393442622950815,,50969417.17999999,-0.028169014084507116,0,-1,0.09154929577464799,1,1,-0.08450704225352101,0,-1,-0.19718309859154937,0,-1,-0.05633802816901401,0,-1,0.26056338028169024,1,1,1.0
