date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2021-04-22,4.767168,4.9093266,4.194119,4.9093,610329004.0,GWIND,4.861947598224341,4.721186525152656,4.861973941655403,4.153664839939925,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.15647852035931809,0,-1,-0.2751716130609252,0,-1,-0.31293667121585556,0,-1,-0.30216120424500437,0,-1,-0.3633104515918766,0,-1,-0.12409101093842301,0,-1,0.0
2021-04-26,5.1998243,5.3949614,4.8563485,4.9623,1025725877.0,GWIND,4.914436389438137,5.149669660964611,5.342924576058303,4.8095068392062785,0,0.010795836473631581,,,,,,,,,,0.004187140039847215,0.000837428007969443,0.0033497120318777716,,,1025725877.0,-0.21173649315841436,0,-1,-0.2918203252524031,0,-1,-0.32384176692259636,0,-1,-0.31316123571730836,0,-1,-0.3701106341817302,0,-1,-0.1583539890776453,0,-1,0.0
2021-04-27,4.7468596,4.9446454,4.556137,4.6356,826476948.0,GWIND,4.5908875575598875,4.701074008784991,4.896952075978456,4.512191013857588,0,-0.06583640650504796,,,,,,,,,,-0.01839021705927646,-0.0030081010054797373,-0.015382116053796722,,,199248929.0,-0.16189921477262925,0,-1,-0.2514237639140564,0,-1,-0.2838036068685823,0,-1,-0.2552420398653896,0,-1,-0.3237984295452584,0,-1,-0.11618776425921118,0,-1,0.0
2021-04-28,4.368947,4.617945,4.176459,4.2559,504666686.0,GWIND,4.214849934467841,4.326806545417766,4.573402847958386,4.136175178565669,0,-0.08190956941927696,,,,,,,,,,-0.06586675774474404,-0.0155798323533326,-0.05028692539141144,,,-305417757.0,-0.07883173946756261,0,-1,-0.19293216475951025,0,-1,-0.22406541507084288,0,-1,-0.18670551469724372,0,-1,-0.2634695364082802,0,-1,-0.00413543551305251,0,0,0.0
2021-04-29,4.2188416,4.3265643,4.14997,4.15,160355474.0,GWIND,4.10997138749537,4.178148979367514,4.284832645580465,4.109941676858833,0,-0.024883103456377897,,,,,,,,,,-0.11067923914860156,-0.03459971371238639,-0.07607952543621517,,,-465773231.0,-0.06809638554216879,0,-1,-0.17021686746987963,0,-1,-0.20850602409638563,0,-1,-0.16171084337349417,0,-1,-0.225542168674699,0,-1,0.014891566265060163,1,0,0.0
2021-04-30,4.318618,4.4855,4.14997,4.3089,396059344.0,GWIND,4.267338725681638,4.276962991210235,4.442235339424212,4.109941676858833,0,0.038289156626506005,-0.12229849469374443,,,,,,,,,-0.13197391140002868,-0.05407455324991485,-0.07789935815011383,,,-69713887.0,-0.14548956810322822,0,-1,-0.2028591984033048,0,-1,-0.24384413655457315,0,-1,-0.18032444475388154,0,-1,-0.2192670983313607,0,-1,-0.01023463064819341,0,0,0.0
2021-05-03,4.392787,4.46784,4.3000746,4.4237,270163778.0,GWIND,4.381031428159823,4.350416597918463,4.424745678049954,4.258598450625445,0,0.026642530576249213,-0.10853837938052902,,,,,,,,,-0.13808429189619176,-0.07087650097917024,-0.06720779091702152,,,200449891.0,-0.1836245676695979,0,-1,-0.22354590049053968,0,-1,-0.26346723331148136,0,-1,-0.22155661550285966,0,-1,-0.24551845739991418,0,-1,-0.021949951398150924,0,-1,0.0
2021-05-04,4.3813086,4.450181,4.291246,4.3001,228409489.0,GWIND,4.258623605631045,4.339048912237926,4.407257007030248,4.249855006434688,0,-0.027940411872414583,-0.07237466563120198,,,,,,,,,-0.15106274346219095,-0.08691374947577439,-0.06414899398641656,,,-27959598.0,-0.13141554847561687,0,-1,-0.2053440617660055,0,-1,-0.25052905746377996,0,-1,-0.21971582056231254,0,-1,-0.20329759773028533,0,-1,0.028743517592614287,1,1,0.0
2021-05-05,4.266522,4.3442245,4.2029486,4.2118,118745925.0,GWIND,4.171175298759758,4.225369480510727,4.302322505025633,4.162409274485234,0,-0.020534406176600517,-0.010362085575318813,,,,,,,,,-0.16648546653682672,-0.10282809288798486,-0.06365737364884186,,,-146705523.0,-0.13837314212450746,0,-1,-0.19497601975402445,0,-1,-0.2935087136141318,0,-1,-0.21173844911914153,0,-1,-0.12158696994159268,0,-1,0.03143549076404373,1,1,0.0
2021-05-06,4.1967673,4.2470975,4.14997,4.1588,88016267.0,GWIND,4.118686507545962,4.156287595897878,4.20613233853087,4.109941676858833,0,-0.012583693432736576,0.002120481927710749,,,,,,,,,-0.18085866634698,-0.1184342075797839,-0.0624244587671961,,,-234721790.0,-0.12527652207367523,0,-1,-0.20169279599884582,0,-1,-0.29510916610560745,0,-1,-0.20594883139367137,0,-1,-0.14862460325093785,0,-1,0.06369625853611627,1,1,0.0
2021-05-10,4.14997,4.3442245,3.9910347,4.1411,385873272.0,GWIND,4.101157231989656,4.109941676858833,4.302322505025633,3.952539379156907,0,-0.0042560353948256635,-0.03894265357747939,,,,,,,,,-0.19145699967456054,-0.13303876599873923,-0.0584182336758213,-15.647852035931809,,-620595062.0,-0.14071140518219794,0,-1,-0.18548211827775207,0,-1,-0.28357199777836795,0,-1,-0.18335707903697063,0,-1,-0.13858636594141638,0,-1,0.05971843230059659,1,1,0.0
2021-05-18,3.9292264,3.9733758,3.911567,3.9116,116756904.0,GWIND,3.873870862488406,3.8913272479497434,3.9350508071726558,3.8738381807882165,0,-0.05542005747265211,-0.11576282297624174,,,,,,,,,-0.2157097974307467,-0.14957297228514074,-0.06613682514560595,-21.173649315841438,,-737351966.0,-0.10159525513856216,0,-1,-0.1422180182022702,0,-1,-0.24831271091113605,0,-1,-0.144467736987422,0,-1,-0.06772164843030981,0,-1,0.17606605992432778,1,1,0.0
2021-05-20,3.9062696,3.938057,3.8850782,3.8851,99986020.0,GWIND,3.847626466881508,3.86859187658867,3.900072672849603,3.847604877152292,0,-0.006774721341650469,-0.09650938350270921,,,,,,,,,-0.23434661586442562,-0.16652770100099773,-0.06781891486342789,-16.189921477262924,,-837337986.0,-0.10681835731384004,0,-1,-0.14545314148927957,0,-1,-0.22727857712800192,0,-1,-0.154539136701758,0,-1,-0.04545571542560034,0,-1,0.1545391367017579,1,1,0.0
