symbol,period,item_code,item_name_tr,item_name_en,value
ALFAS,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,22692595.0
ALFAS,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,4435466.0
ALFAS,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,19265.0
ALFAS,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,7084781.0
ALFAS,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
ALFAS,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,3370281.0
ALFAS,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ALFAS,2020/12,1AF,Stoklar,Inventories,4430064.0
ALFAS,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
ALFAS,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,3352738.0
ALFAS,2020/12,1AI,(Ara Toplam),(Subtotal),22692595.0
ALFAS,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
ALFAS,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,1732403.0
ALFAS,2020/12,1B,Ticari Alacaklar,Trade Receivables,0.0
ALFAS,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
ALFAS,2020/12,1BB,Diğer Alacaklar,Other Receivables,0.0
ALFAS,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
ALFAS,2020/12,1BC,Finansal Yatırımlar,Financial Investments,0.0
ALFAS,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,339628.0
ALFAS,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
ALFAS,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0.0
ALFAS,2020/12,1BFA,Stoklar,Stoklar,0.0
ALFAS,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,0.0
ALFAS,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1236399.0
ALFAS,2020/12,1BGA,Şerefiye,Goodwill,0.0
ALFAS,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,0.0
ALFAS,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,156376.0
ALFAS,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,0.0
ALFAS,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,24424998.0
ALFAS,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
ALFAS,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,15660962.0
ALFAS,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,1338615.0
ALFAS,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ALFAS,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,6409280.0
ALFAS,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,83618.0
ALFAS,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,7719191.0
ALFAS,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
ALFAS,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
ALFAS,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,0.0
ALFAS,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0.0
ALFAS,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,20774.0
ALFAS,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,89483.0
ALFAS,2020/12,2AAGG,(Ara Toplam),(Subtotal),15660962.0
ALFAS,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
ALFAS,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,972203.0
ALFAS,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,921200.0
ALFAS,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
ALFAS,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
ALFAS,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
ALFAS,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
ALFAS,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
ALFAS,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
ALFAS,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,0.0
ALFAS,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,51004.0
ALFAS,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
ALFAS,2020/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0.0
ALFAS,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
ALFAS,2020/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,7791833.0
ALFAS,2020/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,7791833.0
ALFAS,2020/12,2OA,Ödenmiş Sermaye,Share Capital,437257.0
ALFAS,2020/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
ALFAS,2020/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
ALFAS,2020/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
ALFAS,2020/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
ALFAS,2020/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,81420.0
ALFAS,2020/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),2047105.0
ALFAS,2020/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),5223348.0
ALFAS,2020/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,2703.0
ALFAS,2020/12,2ODA,Azınlık Payları,Minority Interests,0.0
ALFAS,2020/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,24424998.0
ALFAS,2020/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
ALFAS,2020/12,3C,Satış Gelirleri,Net Sales,33217090.0
ALFAS,2020/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-26834762.0
ALFAS,2020/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
ALFAS,2020/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,6382328.0
ALFAS,2020/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
ALFAS,2020/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
ALFAS,2020/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
ALFAS,2020/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
ALFAS,2020/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
ALFAS,2020/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),6382328.0
ALFAS,2020/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-64759.0
ALFAS,2020/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-424648.0
ALFAS,2020/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
ALFAS,2020/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,1742752.0
ALFAS,2020/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-1773163.0
ALFAS,2020/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
ALFAS,2020/12,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,5862510.0
ALFAS,2020/12,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,5892921.0
ALFAS,2020/12,3HA,Yatırım Faaliyetlerinden Gelirler,nan,6306.0
ALFAS,2020/12,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,0.0
ALFAS,2020/12,3HAB,Diğer Gelir ve Giderler,nan,0.0
ALFAS,2020/12,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,798.0
ALFAS,2020/12,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,5869614.0
ALFAS,2020/12,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),1530559.0
ALFAS,2020/12,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-1510862.0
ALFAS,2020/12,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,6306.0
ALFAS,2020/12,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,5889311.0
ALFAS,2020/12,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-364824.0
ALFAS,2020/12,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-295015.0
ALFAS,2020/12,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,-69809.0
ALFAS,2020/12,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
ALFAS,2020/12,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,5524487.0
ALFAS,2020/12,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
ALFAS,2020/12,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
ALFAS,2020/12,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,5524487.0
ALFAS,2020/12,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
ALFAS,2020/12,3LB,Azınlık Payları,Minority Interests,0.0
ALFAS,2020/12,3Z,Ana Ortaklık Payları,Parent Shares,5524487.0
ALFAS,2020/12,3ZD,Hisse Başına Kazanç,Earnings per Share,2.0
ALFAS,2020/12,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
ALFAS,2020/12,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
ALFAS,2020/12,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
