symbol,period,item_code,item_name_tr,item_name_en,value
EKGYO,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,3059579157.0
EKGYO,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,262500706.0
EKGYO,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,41171445.0
EKGYO,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,334152731.0
EKGYO,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
EKGYO,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,124121383.0
EKGYO,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
EKGYO,2020/12,1AF,Stoklar,Inventories,2043987111.0
EKGYO,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
EKGYO,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,253645781.0
EKGYO,2020/12,1AI,(Ara Toplam),(Subtotal),3059579157.0
EKGYO,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
EKGYO,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,664315659.0
EKGYO,2020/12,1B,Ticari Alacaklar,Trade Receivables,499280746.0
EKGYO,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
EKGYO,2020/12,1BB,Diğer Alacaklar,Other Receivables,136424.0
EKGYO,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
EKGYO,2020/12,1BC,Finansal Yatırımlar,Financial Investments,0.0
EKGYO,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
EKGYO,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
EKGYO,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,103875577.0
EKGYO,2020/12,1BFA,Stoklar,Stoklar,0.0
EKGYO,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,0.0
EKGYO,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,9738722.0
EKGYO,2020/12,1BGA,Şerefiye,Goodwill,0.0
EKGYO,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,505873.0
EKGYO,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0.0
EKGYO,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,50778317.0
EKGYO,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,3723894816.0
EKGYO,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
EKGYO,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,1365972258.0
EKGYO,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,279604854.0
EKGYO,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
EKGYO,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,332197586.0
EKGYO,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,78954889.0
EKGYO,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
EKGYO,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
EKGYO,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
EKGYO,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,656507460.0
EKGYO,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0.0
EKGYO,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,18707468.0
EKGYO,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,0.0
EKGYO,2020/12,2AAGG,(Ara Toplam),(Subtotal),1365972258.0
EKGYO,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
EKGYO,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,404057072.0
EKGYO,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,394351178.0
EKGYO,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
EKGYO,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,3767.0
EKGYO,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,7604235.0
EKGYO,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
EKGYO,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
EKGYO,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
EKGYO,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,637453.0
EKGYO,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,1460438.0
EKGYO,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
EKGYO,2020/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0.0
EKGYO,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
EKGYO,2020/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,1953865486.0
EKGYO,2020/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,1953865486.0
EKGYO,2020/12,2OA,Ödenmiş Sermaye,Share Capital,511254322.0
EKGYO,2020/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
EKGYO,2020/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
EKGYO,2020/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
EKGYO,2020/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
EKGYO,2020/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,0.0
EKGYO,2020/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),947049121.0
EKGYO,2020/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),115660662.0
EKGYO,2020/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,379901382.0
EKGYO,2020/12,2ODA,Azınlık Payları,Minority Interests,0.0
EKGYO,2020/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,3723894816.0
EKGYO,2020/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
EKGYO,2020/12,3C,Satış Gelirleri,Net Sales,644191549.0
EKGYO,2020/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-484783958.0
EKGYO,2020/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
EKGYO,2020/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,159407592.0
EKGYO,2020/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
EKGYO,2020/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
EKGYO,2020/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
EKGYO,2020/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
EKGYO,2020/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
EKGYO,2020/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),159407592.0
EKGYO,2020/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-10048175.0
EKGYO,2020/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-43787554.0
EKGYO,2020/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
EKGYO,2020/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,90243465.0
EKGYO,2020/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-38710247.0
EKGYO,2020/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
