symbol,period,item_code,item_name_tr,item_name_en,value
MIATK,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,5884721.0
MIATK,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,1132435.0
MIATK,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
MIATK,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,2805242.0
MIATK,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
MIATK,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,1245946.0
MIATK,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
MIATK,2020/12,1AF,Stoklar,Inventories,439301.0
MIATK,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
MIATK,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,261796.0
MIATK,2020/12,1AI,(Ara Toplam),(Subtotal),5884721.0
MIATK,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
MIATK,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,6890477.0
MIATK,2020/12,1B,Ticari Alacaklar,Trade Receivables,0.0
MIATK,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
MIATK,2020/12,1BB,Diğer Alacaklar,Other Receivables,0.0
MIATK,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
MIATK,2020/12,1BC,Finansal Yatırımlar,Financial Investments,0.0
MIATK,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
MIATK,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
MIATK,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,1097093.0
MIATK,2020/12,1BFA,Stoklar,Stoklar,0.0
MIATK,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,162319.0
MIATK,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,95583.0
MIATK,2020/12,1BGA,Şerefiye,Goodwill,0.0
MIATK,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,5418815.0
MIATK,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,116668.0
MIATK,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,0.0
MIATK,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,12775198.0
MIATK,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
MIATK,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,2863192.0
MIATK,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,690754.0
MIATK,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
MIATK,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,2082736.0
MIATK,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,38478.0
MIATK,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
MIATK,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
MIATK,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
MIATK,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,10194.0
MIATK,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),200.0
MIATK,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,22573.0
MIATK,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,18257.0
MIATK,2020/12,2AAGG,(Ara Toplam),(Subtotal),2863192.0
MIATK,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
MIATK,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,859200.0
MIATK,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,708576.0
MIATK,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
MIATK,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
MIATK,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
MIATK,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
MIATK,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
MIATK,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
MIATK,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,0.0
MIATK,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,150624.0
MIATK,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
MIATK,2020/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0.0
MIATK,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
MIATK,2020/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,9052807.0
MIATK,2020/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,9052807.0
MIATK,2020/12,2OA,Ödenmiş Sermaye,Share Capital,4036218.0
MIATK,2020/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
MIATK,2020/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
MIATK,2020/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
MIATK,2020/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
MIATK,2020/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,0.0
MIATK,2020/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),1862464.0
MIATK,2020/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),2985397.0
MIATK,2020/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,168727.0
MIATK,2020/12,2ODA,Azınlık Payları,Minority Interests,0.0
MIATK,2020/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,12775198.0
MIATK,2020/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
MIATK,2020/12,3C,Satış Gelirleri,Net Sales,12305552.0
MIATK,2020/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-9052214.0
MIATK,2020/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
MIATK,2020/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,3253338.0
MIATK,2020/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
MIATK,2020/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
MIATK,2020/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
MIATK,2020/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
MIATK,2020/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
MIATK,2020/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),3253338.0
MIATK,2020/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),0.0
MIATK,2020/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-171329.0
MIATK,2020/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
MIATK,2020/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,43809.0
MIATK,2020/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-47837.0
MIATK,2020/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
MIATK,2020/12,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,3077980.0
MIATK,2020/12,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,3082009.0
MIATK,2020/12,3HA,Yatırım Faaliyetlerinden Gelirler,nan,54706.0
MIATK,2020/12,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,0.0
MIATK,2020/12,3HAB,Diğer Gelir ve Giderler,nan,0.0
MIATK,2020/12,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0.0
MIATK,2020/12,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,3132686.0
MIATK,2020/12,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),505705.0
MIATK,2020/12,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-519341.0
MIATK,2020/12,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,54706.0
MIATK,2020/12,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,3119050.0
MIATK,2020/12,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,38462.0
MIATK,2020/12,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-28173.0
MIATK,2020/12,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,66635.0
MIATK,2020/12,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
MIATK,2020/12,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,3157513.0
MIATK,2020/12,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
MIATK,2020/12,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
MIATK,2020/12,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,3157513.0
MIATK,2020/12,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
MIATK,2020/12,3LB,Azınlık Payları,Minority Interests,0.0
MIATK,2020/12,3Z,Ana Ortaklık Payları,Parent Shares,3157513.0
MIATK,2020/12,3ZD,Hisse Başına Kazanç,Earnings per Share,0.0
MIATK,2020/12,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
MIATK,2020/12,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
MIATK,2020/12,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
MIATK,2020/12,4B,Amortisman Giderleri,Depreciation & Amortization,234723.0
MIATK,2020/12,4BA,Kıdem Tazminatı,Severance Payments,50177.0
MIATK,2020/12,4BB,Finansman Giderleri,Financial Expenses,-519341.0
MIATK,2020/12,4BC,Yurtiçi Satışlar,Domestic Sales,0.0
MIATK,2020/12,4BD,Yurtdışı Satışlar,Export Sales,0.0
MIATK,2020/12,4BE,Net Yabancı Para Pozisyonu,Net Fx Position,1142977.0
MIATK,2020/12,4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,1026102.0
MIATK,2020/12,4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),1142977.0
MIATK,2020/12,4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,3936361.0
MIATK,2020/12,4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,3157513.0
MIATK,2020/12,4CAA,Düzeltmeler:,Adjustments:,269681.0
MIATK,2020/12,4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,234723.0
MIATK,2020/12,4CAC,Karşılıklardaki Değişim,Change in Provisions,99579.0
MIATK,2020/12,4CAD,Diğer Gelir/ Gider,Other Income / Expense,-64622.0
MIATK,2020/12,4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),3427193.0
MIATK,2020/12,4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,509167.0
MIATK,2020/12,4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),3936361.0
MIATK,2020/12,4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,0.0
MIATK,2020/12,4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-5063518.0
MIATK,2020/12,4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,910702.0
MIATK,2020/12,4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,-4152816.0
MIATK,2020/12,4CB,Serbest Nakit Akım,Free Cash Flow,-216455.0
MIATK,2020/12,4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,1057751.0
MIATK,2020/12,4CBB,Temettü Ödemeleri,Dividends Paid,0.0
MIATK,2020/12,4CBC,Sermaye Artırımı,Rights Issue,0.0
MIATK,2020/12,4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,0.0
MIATK,2020/12,4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,1057751.0
MIATK,2020/12,4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,841296.0
MIATK,2020/12,4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0.0
MIATK,2020/12,4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0.0
MIATK,2020/12,4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,841296.0
MIATK,2020/12,4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0.0
MIATK,2020/12,4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,356427.0
MIATK,2020/12,4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,1197723.0
MIATK,2020/6,1A,Dönen Varlıklar,CURRENT ASSETS,0.0
MIATK,2020/6,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,0.0
MIATK,2020/6,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
MIATK,2020/6,1AC,Ticari Alacaklar,Short-Term Trade Receivables,0.0
MIATK,2020/6,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
MIATK,2020/6,1AE,Diğer Alacaklar,Short-Term Other Receivables,0.0
MIATK,2020/6,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
MIATK,2020/6,1AF,Stoklar,Inventories,0.0
MIATK,2020/6,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
MIATK,2020/6,1AH,Diğer Dönen Varlıklar,Other Current Assets,0.0
MIATK,2020/6,1AI,(Ara Toplam),(Subtotal),0.0
MIATK,2020/6,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
MIATK,2020/6,1AK,Duran Varlıklar,LONG TERM ASSETS,0.0
MIATK,2020/6,1B,Ticari Alacaklar,Trade Receivables,0.0
MIATK,2020/6,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
MIATK,2020/6,1BB,Diğer Alacaklar,Other Receivables,0.0
MIATK,2020/6,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
MIATK,2020/6,1BC,Finansal Yatırımlar,Financial Investments,0.0
MIATK,2020/6,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
MIATK,2020/6,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
MIATK,2020/6,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0.0
MIATK,2020/6,1BFA,Stoklar,Stoklar,0.0
MIATK,2020/6,1BFAA,Kullanım Hakkı Varlıkları,nan,0.0
MIATK,2020/6,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,0.0
MIATK,2020/6,1BGA,Şerefiye,Goodwill,0.0
MIATK,2020/6,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,0.0
MIATK,2020/6,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0.0
MIATK,2020/6,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,0.0
MIATK,2020/6,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,0.0
MIATK,2020/6,1BM,KAYNAKLAR,LIABILITIES,0.0
MIATK,2020/6,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,0.0
MIATK,2020/6,2AA,Finansal Borçlar,Short-Term Financial Loans,0.0
MIATK,2020/6,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
MIATK,2020/6,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,0.0
MIATK,2020/6,2AAGAB,Diğer Borçlar,Other Short-Term Loans,0.0
MIATK,2020/6,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
MIATK,2020/6,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
MIATK,2020/6,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
MIATK,2020/6,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,0.0
MIATK,2020/6,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0.0
MIATK,2020/6,2AAGE,Borç Karşılıkları,Short-Term Provisions,0.0
MIATK,2020/6,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,0.0
MIATK,2020/6,2AAGG,(Ara Toplam),(Subtotal),0.0
MIATK,2020/6,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
MIATK,2020/6,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,0.0
MIATK,2020/6,2BA,Finansal Borçlar,Long-Term Financial Loans,0.0
MIATK,2020/6,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
MIATK,2020/6,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
MIATK,2020/6,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
MIATK,2020/6,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
MIATK,2020/6,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
MIATK,2020/6,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
MIATK,2020/6,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,0.0
MIATK,2020/6,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,0.0
MIATK,2020/6,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
MIATK,2020/6,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0.0
MIATK,2020/6,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
MIATK,2020/6,2N,Özkaynaklar,SHAREHOLDERS EQUITY,0.0
MIATK,2020/6,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,0.0
MIATK,2020/6,2OA,Ödenmiş Sermaye,Share Capital,0.0
MIATK,2020/6,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
MIATK,2020/6,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
MIATK,2020/6,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
MIATK,2020/6,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
MIATK,2020/6,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,0.0
MIATK,2020/6,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),0.0
MIATK,2020/6,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),0.0
MIATK,2020/6,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,0.0
MIATK,2020/6,2ODA,Azınlık Payları,Minority Interests,0.0
MIATK,2020/6,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,0.0
MIATK,2020/6,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
MIATK,2020/6,3C,Satış Gelirleri,Net Sales,2786183.0
MIATK,2020/6,3CA,Satışların Maliyeti (-),Cost Of Sales,-1071099.0
MIATK,2020/6,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
MIATK,2020/6,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,1715084.0
MIATK,2020/6,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
MIATK,2020/6,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
MIATK,2020/6,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
MIATK,2020/6,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
MIATK,2020/6,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
MIATK,2020/6,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),1715084.0
MIATK,2020/6,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),0.0
MIATK,2020/6,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-37177.0
MIATK,2020/6,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
MIATK,2020/6,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,50120.0
MIATK,2020/6,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-41213.0
MIATK,2020/6,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
MIATK,2020/6,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,1686814.0
MIATK,2020/6,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,1677907.0
MIATK,2020/6,3HA,Yatırım Faaliyetlerinden Gelirler,nan,0.0
MIATK,2020/6,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,0.0
MIATK,2020/6,3HAB,Diğer Gelir ve Giderler,nan,0.0
MIATK,2020/6,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0.0
MIATK,2020/6,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,1686814.0
MIATK,2020/6,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),177525.0
MIATK,2020/6,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-200045.0
MIATK,2020/6,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,0.0
MIATK,2020/6,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,1664295.0
MIATK,2020/6,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,23618.0
MIATK,2020/6,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-4908.0
MIATK,2020/6,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,28527.0
MIATK,2020/6,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
MIATK,2020/6,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,1687913.0
MIATK,2020/6,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
MIATK,2020/6,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
MIATK,2020/6,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,1687913.0
MIATK,2020/6,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
MIATK,2020/6,3LB,Azınlık Payları,Minority Interests,0.0
MIATK,2020/6,3Z,Ana Ortaklık Payları,Parent Shares,1687913.0
MIATK,2020/6,3ZD,Hisse Başına Kazanç,Earnings per Share,0.0
MIATK,2020/6,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
MIATK,2020/6,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
MIATK,2020/6,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
MIATK,2020/6,4B,Amortisman Giderleri,Depreciation & Amortization,99055.0
MIATK,2020/6,4BA,Kıdem Tazminatı,Severance Payments,0.0
MIATK,2020/6,4BB,Finansman Giderleri,Financial Expenses,-200045.0
MIATK,2020/6,4BC,Yurtiçi Satışlar,Domestic Sales,0.0
MIATK,2020/6,4BD,Yurtdışı Satışlar,Export Sales,0.0
MIATK,2020/6,4BE,Net Yabancı Para Pozisyonu,Net Fx Position,0.0
MIATK,2020/6,4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,0.0
MIATK,2020/6,4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),0.0
MIATK,2020/6,4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,391977.0
MIATK,2020/6,4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,1687913.0
MIATK,2020/6,4CAA,Düzeltmeler:,Adjustments:,96076.0
MIATK,2020/6,4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,99055.0
MIATK,2020/6,4CAC,Karşılıklardaki Değişim,Change in Provisions,80940.0
MIATK,2020/6,4CAD,Diğer Gelir/ Gider,Other Income / Expense,-83920.0
MIATK,2020/6,4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),1783989.0
MIATK,2020/6,4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,-2175966.0
