symbol,period,item_code,item_name_tr,item_name_en,value
MAVI,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,240389630.0
MAVI,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,120209749.0
MAVI,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
MAVI,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,31129738.0
MAVI,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
MAVI,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,1302353.0
MAVI,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
MAVI,2020/12,1AF,Stoklar,Inventories,75354044.0
MAVI,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
MAVI,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,12393747.0
MAVI,2020/12,1AI,(Ara Toplam),(Subtotal),240389630.0
MAVI,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
MAVI,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,123912710.0
MAVI,2020/12,1B,Ticari Alacaklar,Trade Receivables,0.0
MAVI,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
MAVI,2020/12,1BB,Diğer Alacaklar,Other Receivables,429185.0
MAVI,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
MAVI,2020/12,1BC,Finansal Yatırımlar,Financial Investments,0.0
MAVI,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
MAVI,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
MAVI,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0.0
MAVI,2020/12,1BFA,Stoklar,Stoklar,0.0
MAVI,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,58527722.0
MAVI,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,26595853.0
MAVI,2020/12,1BGA,Şerefiye,Goodwill,25420776.0
MAVI,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,9925465.0
MAVI,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,2993663.0
